Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Text,Voice,VoiceVersion
Bg,class_a
CharacterOff
,,,,,,,真篠佳代は風紀委員であり、超がつくほどのマジメっ子だった
,,,,,,,今日も今日とて放課後の校内巡回
,,,,,,,そして立入禁止のはずの屋上へ上がっていくのを見つけた彼女は、
,,,,,,,風紀委員としての使命感から非行へと走る彼らに注意を促したのだった
,佳代,,,,,,……なっ。神聖な校内で煙草を吸うなんて……　何を考えているんですかあなた達は！　恥を知りなさいっ
,,,,,,,普段なら
,,,,,,,普段ならば彼女の張りのある声で一喝されればどんなギャルグループや、
,,,,,,,周囲に見栄を張っただけの不良なんかはたちどころに怯え、消沈しながら彼女の命に従ったものだ。
,,,,,,,（そんな堂の入った声を出せるのも佳代が毎日のようにボイストレーニングを続けているからなのだが、
,,,,,,,何故彼女がそんな努力を続けているのかはまた別の話）
,不良,,charaPos,,,,あぁん！？　文句あるってんかッんたァ！！
,,,,,,,――ただし、今日の相手は少々勝手が違った。
,,,,,,,ヤンキー漫画にでも出てきそうなくらいテンプレにテンプレを重ねたような不良だった
,,,,,,,フランスパンみたいにゆっさゆっさ頭で揺れるリーゼント、極彩色の趣味の悪いカッターシャツ、
,,,,,,,幅の広がったボンタン風のズボンと、完全フル装備のまるで型に嵌められたかのようなザ・不良
,,,,,,,佳代の一喝にも動ぜず、むしろ歯茎を剥き出しにして彼女を威嚇してくる
,佳代,,,,,,……うっ
,,,,,,,不良達が一歩一歩と近づいてくる度、佳代の足も後退する
,,,,,,,普段舞台に立つことで度胸は人一倍あったが、こういった手合いだと度胸だけでは何も解決できない
,,,,,,,ついに佳代の背に落下防止の金網が触れた
,佳代,,,,,,――き、教師を呼びますよっ
,不良,,charaPos,,,,ッせっぞおぅら！　しばかれっぞ！！

,,,,,,,まったく話が通じない。まるで猿だった
,,,,,,,話の分からない二人を前に、佳代は足がすくんで動けなかった
,,,,,,,一方で、佳代の中の別の意識はまるで舞台の上にでも立っているかのようにぼんやりと事の成り行きを見守っていた
,,,,,,,そんな佳代の視線が、ある一点で止まった
,,,,,,,二人の猿の後ろ、給水塔の不安定な足場の上に、寝転がっている誰かがいる
,,,,,,,誰かはたった今起き上がったとばかりにぱちぱち瞬きを繰り返し、そして彼は佳代と目が合った
,,,,,,,それも一瞬のこと。彼はふいと目を逸らすと、不良に気付かれないようにそっと降りて出入り口を降りて行った
,佳代,,,,,,（……助けてくれない、か）
,,,,,,,それが普通の反応だろう。不良に絡まれている女の子を助ける男子、というのは時代遅れの少女マンガの中にしか存在しないのだ

,,,,,,,――これからどうしよう。
,,,,,,,そう思っていたところ、声がかかった。
CharacterOff
,yuuki,,charaPos21,,,,やあ、君たち。元気そうだね。何をして遊んでいるのかな
,,,,,,,涼やかで、まるで真水のように透明感のある声。この声はよく知っていた。生徒会長の悠木志摩だ
,不良,,charaPos22,,,,だぁお前！？　じゃぁすんじゃえぇ！？

,,,,,,,不良達の意識が志摩へと向かう
,,,,,,,怒りが頂点に達してしまった不良達はその矛先を突然の闖入者へ吐き出そうと、まっすぐに志摩へと襲い掛かる
,,,,,,,咄嗟に佳代は叫んだ
,佳代,,,,,,――危ないっ！　逃げてください、生徒会長！
,yuuki,,charaPos21,,,,やれやれ、制服を着ている時はあまり運動したくないんだがね……
,,,,,,,と、志摩は背中に背負っていた竹刀を取り出すと、あっという間に不良二人をノシてしまっていた

CharacterOff
,佳代,,,,,,ふう……
,,,,,,,恐怖で金縛りにあっていた足から、力が抜けた
,男子生徒,,charaPos,,,,大丈夫、立てる？
